Name,URL,Address,Trust,Postcode,ID,Hospital,Rating,Care Quality Commission inspection ratings,Friends and Family Test score: A&E,Friends and Family Test Score: Community,Friends and Family Test score: Inpatient,Friends and Family Test score: Maternity,Friends and Family test score: Outpatients,Friends and Family Test score: Staff - Care,Friends and Family Test score: Staff - Work,Friends and Family Test score: Mental Health,Friends and Family Test score: Ambulance patient transport
Endeavour Court,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=30270,"210 Reservoir Road, Erdington, Birmingham, West Midlands, B23 6DJ",Birmingham and Solihull Mental Health NHS Foundation Trust,B23 6DJ,30270,Endeavour Court,NA,NA,NA,NA,NA,NA,NA,69%,65%,92%,NA
Forward House,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=94252,"Entrance D, 71 Fentham Road, Erdington, Birmingham, West Midlands, B23 6AL",Birmingham and Solihull Mental Health NHS Foundation Trust,B23 6AL,94252,Forward House,NA,NA,NA,NA,NA,NA,NA,69%,65%,92%,NA
Grove Avenue,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2592,"32 Grove Avenue, Moseley, Birmingham, B13 9RY",Birmingham and Solihull Mental Health NHS Foundation Trust,B13 9RY,2592,Grove Avenue,NA,NA,NA,NA,NA,NA,NA,69%,65%,92%,NA
Hertford House,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2863,"29 Old Warwick Road, Olton, Solihull, West Midlands, B92 7JQ",Birmingham and Solihull Mental Health NHS Foundation Trust,B92 7JQ,2863,Hertford House,NA,NA,NA,NA,NA,NA,NA,69%,65%,92%,NA
Hillis Lodge,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2850,"Hollymoor Way, Northfield, Birmingham, B31 5HE",Birmingham and Solihull Mental Health NHS Foundation Trust,B31 5HE,2850,Hillis Lodge,NA,No rating,NA,NA,NA,NA,NA,69%,65%,92%,NA
Juniper Centre,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=29287,"Moseley Hall Hospital site, Alcester Road, Moseley, Birmingham, B13 8JL",Birmingham and Solihull Mental Health NHS Foundation Trust,B13 8JL,29287,Juniper Centre,NA,NA,NA,NA,NA,NA,NA,69%,65%,92%,NA
Mary Seacole House,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=29761,"Lodge Road, Winson Green, Birmingham, West Midlands, B18 5SD",Birmingham and Solihull Mental Health NHS Foundation Trust,B18 5SD,29761,Mary Seacole House,NA,No rating,NA,NA,NA,NA,NA,69%,65%,92%,NA
Oleaster,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=29769,"6 Mindelsohn Crescent, Edgbaston, Birmingham, West Midlands, B15 2SY",Birmingham and Solihull Mental Health NHS Foundation Trust,B15 2SY,29769,Oleaster,NA,NA,NA,NA,NA,NA,NA,69%,65%,92%,NA
Reaside Clinic,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=29764,"Birmingham Great Park, Bristol Road South, Rednal, Birmingham, West Midlands, B45 9BE",Birmingham and Solihull Mental Health NHS Foundation Trust,B45 9BE,29764,Reaside Clinic,NA,No rating,NA,NA,NA,NA,NA,69%,65%,92%,NA
Reservoir Court,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=29765,"220 Reservoir Road, Erdington, Birmingham, West Midlands, B23 6DJ",Birmingham and Solihull Mental Health NHS Foundation Trust,B23 6DJ,29765,Reservoir Court,NA,NA,NA,NA,NA,NA,NA,69%,65%,92%,NA
Tamarind Centre,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=96608,"165 Yardley Green Road, Bordesley Green, Birmingham, B9 5PU",Birmingham and Solihull Mental Health NHS Foundation Trust,B9 5PU,96608,Tamarind Centre,NA,NA,NA,NA,NA,NA,NA,69%,65%,92%,NA
Zinnia Centre,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=29768,"100 Showell Green Lane, Birmingham, West Midlands, B11 4HL",Birmingham and Solihull Mental Health NHS Foundation Trust,B11 4HL,29768,Zinnia Centre,NA,NA,NA,NA,NA,NA,NA,69%,65%,92%,NA
Birmingham Dental Hospital and School of Dentistry,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=30301,"5 Mill Pool Way, Birmingham (SatNav B5 7SA), B5 7EG",Birmingham Community Healthcare NHS Foundation Trust,B5 7SA,30301,Birmingham Dental Hospital and School of Dentistry,NA,NA,NA,97%,NA,NA,NA,77%,57%,NA,NA
Moseley Hall Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=29930,"Alcester Road, Birmingham, B13 8JL",Birmingham Community Healthcare NHS Foundation Trust,B13 8JL,29930,Moseley Hall Hospital,NA,NA,NA,97%,NA,NA,NA,77%,57%,NA,NA
West Heath Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=30264,"West Heath Hospital, Rednal Road, Birmingham, West Midlands, B38 8HR",Birmingham Community Healthcare NHS Foundation Trust,B38 8HR,30264,West Heath Hospital,NA,No rating,NA,97%,NA,NA,NA,77%,57%,NA,NA
West Midlands Rehabilitation Centre,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=139906,"West Midlands Rehabilitation Centre, Oak Tree Lane, Birmingham, West Midlands, B29 6JA",Birmingham Community Healthcare NHS Foundation Trust,B29 6JA,139906,West Midlands Rehabilitation Centre,NA,NA,NA,97%,NA,NA,NA,77%,57%,NA,NA
Birmingham Children's Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=951,"Steelhouse Lane, Birmingham, B4 6NH",Birmingham Women's and Children's NHS Foundation Trust,B4 6NH,951,Birmingham Children's Hospital,NA,Outstanding,94%,NA,100%,NA,94%,88%,61%,1,NA
Birmingham Women's Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=128358,"Mindelsohn Way, Edgbaston, Birmingham, West Midlands, B15 2TG",Birmingham Women's and Children's NHS Foundation Trust,B15 2TG,128358,Birmingham Women's Hospital,NA,Good,NA,NA,97%,NA,94%,88%,61%,1,NA
Good Hope Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=128481,"Rectory Road, Sutton Coldfield, West Midlands, B75 7RR",Birmingham Women's and Children's NHS Foundation Trust,B75 7RR,128481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Edward Street Day Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=133410,"Edward Street, West Bromwich, West Midlands, B70 8NL",Black Country Partnership NHS Foundation Trust,B70 8NL,133410,Edward Street Hospital,NA,NA,NA,100%,NA,NA,NA,66%,53%,98%,NA
Edward Street Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=3087,"Edward Street, Edward Street, West Bromwich, B70 8NL",Black Country Partnership NHS Foundation Trust,B70 8NL,3087,Edward Street Hospital,NA,NA,NA,100%,NA,NA,NA,66%,53%,98%,NA
Hallam Street Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2455,"Hallam Street, Hallam Street, West Bromwich, B71 4NH",Black Country Partnership NHS Foundation Trust,B71 4NH,2455,Hallam Street Hospital,NA,NA,NA,100%,NA,NA,NA,66%,53%,98%,NA
Heath Lane Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2914,"Heath Lane, West Bromwich, West Midlands, B71 2BG",Black Country Partnership NHS Foundation Trust,B71 2BG,2914,Heath Lane Hospital,NA,No rating,NA,100%,NA,NA,NA,66%,53%,98%,NA
New Cross Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=134470,"Wednesfield Road, Wolverhampton, West Midlands, WV10 0QP",Black Country Partnership NHS Foundation Trust,WV10 0QP,134470,New Cross Hospital,NA,Good,82%,92%,95%,NA,95%,90%,81%,NA,NA
Penn Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=102125,"Penn Hospital, Penn Road, Penn, Wolverhampton, WV4 5HN",Black Country Partnership NHS Foundation Trust,WV4 5HN,102125,Penn Hospital,NA,NA,NA,100%,NA,NA,NA,66%,53%,98%,NA
Russells Hall Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=134278,"Pensnett Road, Dudley, West Midlands, DY1 2HQ",Black Country Partnership NHS Foundation Trust,DY1 2HQ,134278,Russells Hall Hospital,NA,Requires Improvement,75%,91%,95%,NA,90%,85%,73%,NA,NA
West Park Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=134144,"Park Road, Wolverhampton, West Midlands, WV1 4PW",Black Country Partnership NHS Foundation Trust,WV1 4PW,134144,West Park Hospital,NA,No rating,NA,92%,90%,NA,95%,90%,81%,NA,NA
Blackburn Royal Infirmary,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119581,"Haslingden Road, Blackburn, Lancashire, BB2 3HH",Blackpool Teaching Hospitals NHS Foundation Trust,BB2 3HH,119581,Royal Blackburn Hospital,NA,Good,84%,96%,98%,NA,96%,83%,76%,NA,NA
Blackpool Victoria Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1974,"Whinney Heys Road, Blackpool, Lancashire, FY3 8NR",Blackpool Teaching Hospitals NHS Foundation Trust,FY3 8NR,1974,Blackpool Victoria Hospital,NA,Requires Improvement,82%,99%,96%,NA,97%,74%,66%,92%,NA
Burnley General Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=114579,"Casterton Avenue, Burnley, Lancashire, BB10 2PQ",Blackpool Teaching Hospitals NHS Foundation Trust,BB10 2PQ,114579,Burnley General Hospital,NA,Good,NA,96%,99%,NA,96%,83%,76%,NA,NA
Chorley And South Ribble Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=147544,"Preston Road, Chorley, Lancashire, PR7 1PP",Blackpool Teaching Hospitals NHS Foundation Trust,PR7 1PP,147544,Chorley and South Ribble Hospital,NA,Good,91%,NA,94%,NA,92%,76%,63%,NA,NA
Clifton Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2111,"Pershore Road, Lytham St. Annes, Lancashire, FY8 1PB",Blackpool Teaching Hospitals NHS Foundation Trust,FY8 1PB,2111,Clifton Hospital,NA,Good,NA,99%,NA,NA,97%,74%,66%,92%,NA
Lancashire Bowel Cancer Screening Programme - Blackpool Victoria Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=863,"Victoria Hospital, Whinney Heys Road, Blackpool, Lancashire, FY3 8NR",Blackpool Teaching Hospitals NHS Foundation Trust,FY3 8NR,863,Blackpool Victoria Hospital,NA,Requires Improvement,82%,99%,96%,NA,97%,74%,66%,92%,NA
Lancashire Bowel Cancer Screening Programme - Clifton Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2287,"Pershore Road, Lytham St. Annes, Lancashire, FY8 1PB",Blackpool Teaching Hospitals NHS Foundation Trust,FY8 1PB,2287,Clifton Hospital,NA,Good,NA,99%,NA,NA,97%,74%,66%,92%,NA
Lancashire Bowel Cancer Screening Programme - Fleetwood Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1830,"Pharos Street, Fleetwood, Lancashire, FY7 6BE",Blackpool Teaching Hospitals NHS Foundation Trust,FY7 6BE,1830,Lancashire Bowel Cancer Screening Programme - Fleetwood Hospital,NA,NA,NA,99%,NA,NA,97%,74%,66%,92%,NA
Lancashire Bowel Screening Service (Euxton Hall Hospital),https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2217,"Euxton Hall Hospital, Wigan Road, Euxton, Chorley, Lancashire, PR7 6DY",Blackpool Teaching Hospitals NHS Foundation Trust,PR7 6DY,2217,Euxton Hall Hospital,NA,Good,NA,NA,100%,NA,99%,NA,NA,NA,NA
Lancs Bowel Cancer Screening - Burnley General Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1485,"Burnley Health Care N H S Trus, Burnley General Hospital, Casterton Avenue, Burnley, Lancashire, BB10 2PQ",Blackpool Teaching Hospitals NHS Foundation Trust,BB10 2PQ,1485,Burnley General Hospital,NA,Good,NA,96%,99%,NA,96%,83%,76%,NA,NA
Queen Victoria Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=116323,"Thornton Road, Morecambe, Lancashire, LA4 5NN",Blackpool Teaching Hospitals NHS Foundation Trust,LA4 5NN,116323,Queen Victoria Hospital,NA,NA,NA,98%,NA,NA,NA,70%,54%,93%,NA
Royal Lancaster Infirmary,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119580,"Ashton Road, Lancaster, Lancashire, LA1 4RP",Blackpool Teaching Hospitals NHS Foundation Trust,LA1 4RP,119580,Royal Lancaster Infirmary,NA,Requires Improvement,83%,98%,94%,NA,95%,85%,89%,NA,NA
Royal Preston Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=115886,"Sharoe Green Lane, Fulwood, Preston, Lancashire, PR2 9HT",Blackpool Teaching Hospitals NHS Foundation Trust,PR2 9HT,115886,Royal Preston Hospital,NA,Requires Improvement,78%,NA,91%,NA,92%,76%,63%,NA,NA
Beardwood Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=128485,"Preston New Road, Blackburn, Lancashire, BB2 7AE",Bolton NHS Foundation Trust,BB2 7AE,128485,BMI The Beardwood Hospital,NA,Good,NA,NA,98%,NA,NA,NA,NA,NA,NA
Beaumont Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=128703,"Chorley New Road, Lostock, Bolton, Lancashire, BL6 4LA",Bolton NHS Foundation Trust,BL6 4LA,128703,BMI The Beaumont Hospital,NA,Good,NA,NA,97%,NA,NA,NA,NA,NA,NA
Leigh Infirmary,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=111444,"The Avenue, Leigh, Lancashire, WN7 1HS",Bolton NHS Foundation Trust,WN7 1HS,111444,Leigh Infirmary,NA,Good,NA,91%,99%,NA,94%,79%,70%,NA,NA
Royal Bolton Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=929,"Minerva Road, Farnworth, Bolton, Lancashire, BL4 0JR",Bolton NHS Foundation Trust,BL4 0JR,929,Royal Bolton Hospital,NA,Good,93%,99%,96%,NA,94%,85%,75%,NA,NA
Wrightington Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=148479,"Hall Lane, Wrightington, Wigan, Lancashire, WN6 9EP",Bolton NHS Foundation Trust,WN6 9EP,148479,Wrightington Hospital,NA,Good,NA,91%,98%,NA,94%,79%,70%,NA,NA
Airedale Centre for Mental Health,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=90840,"Steeton, Keighley, Bradford, BD20 6TD",Bradford District NHS Foundation Trust,BD20 6TD,90840,Airedale Centre for Mental Health,NA,No rating,NA,98%,NA,NA,NA,59%,44%,88%,NA
Lynfield Mount Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=3071,"Heights Lane, Bradford, West Yorkshire, BD9 6DP",Bradford District NHS Foundation Trust,BD9 6DP,3071,Lynfield Mount Hospital,NA,NA,NA,98%,NA,NA,NA,59%,44%,88%,NA
Stoney Ridge Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=133926,"Stoney Ridge Road, Bingley, West Yorkshire, BD16 1UL",Bradford District NHS Foundation Trust,BD16 1UL,133926,Stoney Ridge Hospital,NA,NA,NA,98%,NA,NA,NA,59%,44%,88%,NA
Airedale General,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=99528,"Airedale General Hospital, Skipton Road, Steeton, Keighley, West Yorkshire, BD20 6TD",Bradford Teaching Hospitals NHS Foundation Trust,BD20 6TD,99528,Airedale General Hospital,NA,Requires Improvement,94%,100%,97%,NA,97%,87%,77%,NA,NA
Bradford Royal Infirmary,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=381,"Duckworth Lane, Bradford, West Yorkshire, BD9 6RJ",Bradford Teaching Hospitals NHS Foundation Trust,BD9 6RJ,381,Bradford Royal Infirmary,NA,Requires Improvement,NA,NA,99%,NA,97%,72%,60%,NA,NA
Chapel Allerton Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=151630,"Chapeltown Road, Leeds, LS7 4SA",Bradford Teaching Hospitals NHS Foundation Trust,LS7 4SA,151630,Chapel Allerton Hospital,NA,Good,NA,NA,98%,NA,96%,88%,72%,NA,NA
Dewsbury And District Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=152861,"Dewsbury &amp; District Hospital, Halifax Road, Dewsbury, WF13 4HS",Bradford Teaching Hospitals NHS Foundation Trust,WF13 4HS,152861,Dewsbury and District Hospital,NA,Requires Improvement,94%,97%,98%,NA,97%,71%,62%,NA,NA
Eccleshill Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=34416,"450 Harrogate Road, Eccleshill, Bradford, West Yorkshire, BD10 0JE",Bradford Teaching Hospitals NHS Foundation Trust,BD10 0JE,34416,Eccleshill Community Hospital,NA,No rating,NA,NA,NA,NA,97%,72%,60%,NA,NA
Leeds General Infirmary,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=151628,"Great George Street, Leeds, LS1 3EX",Bradford Teaching Hospitals NHS Foundation Trust,LS1 3EX,151628,Leeds General Infirmary,NA,Good,87%,NA,97%,NA,96%,88%,72%,NA,NA
Pinderfields Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=152860,"Aberford Road, Wakefield, WF1 4DG",Bradford Teaching Hospitals NHS Foundation Trust,WF1 4DG,152860,Pinderfields Hospital,NA,Requires Improvement,92%,97%,94%,NA,97%,71%,62%,NA,NA
Sheffield Childrens Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=152294,"Western Bank, Sheffield, S10 2TH",Bradford Teaching Hospitals NHS Foundation Trust,S10 2TH,152294,Sheffield Children's Hospital,NA,Good,77%,95%,89%,NA,96%,89%,65%,81%,NA
Shipley Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=34418,"98 Kirkgate, Shipley, West Yorkshire, BD18 3LT",Bradford Teaching Hospitals NHS Foundation Trust,BD18 3LT,34418,Shipley Hospital,NA,No rating,NA,NA,NA,NA,97%,72%,60%,NA,NA
St James' Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=151629,"Beckett Street, Leeds, LS9 7TF",Bradford Teaching Hospitals NHS Foundation Trust,LS9 7TF,151629,St James's Hospital,NA,Requires Improvement,87%,NA,95%,NA,96%,88%,72%,NA,NA
St Lukes Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=109,"Little Horton Lane, Bradford, West Yorkshire, BD5 0NA",Bradford Teaching Hospitals NHS Foundation Trust,BD5 0NA,109,St Lukes Hospital,NA,Requires Improvement,NA,NA,100%,NA,97%,72%,60%,NA,NA
Westbourne Green Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=88911,"26 Heaton Road, Bradford, West Yorkshire, BD8 8RA",Bradford Teaching Hospitals NHS Foundation Trust,BD8 8RA,88911,Westbourne Green Community Hospital,NA,No rating,NA,NA,NA,NA,97%,72%,60%,NA,NA
Westwood Park Diagnostic Treatment Centre,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=34417,"Swift Drive, Off Cooper Lane, Bradford, West Yorkshire, BD6 3NL",Bradford Teaching Hospitals NHS Foundation Trust,BD6 3NL,34417,Westwood Park Diagnostic Treatment Centre,NA,NA,NA,NA,NA,NA,97%,72%,60%,NA,NA
Newton Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=110470,"Bradlegh Road, Newton-Le-Willows, Merseyside, WA12 8RB",Bridgewater Community Healthcare NHS Foundation Trust,WA12 8RB,110470,Newton Community Hospital,NA,NA,NA,96%,NA,NA,NA,78%,33%,NA,NA
Bexhill Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=99512,"Holliers Hill, Bexhill-On-Sea, East Sussex, TN40 2DZ",Brighton and Sussex University Hospitals NHS Trust,TN40 2DZ,99512,Bexhill Hospital,NA,NA,NA,98%,100%,NA,97%,82%,62%,NA,NA
Brighton General Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1285,"Elm Grove, Brighton, East Sussex, BN2 3EW",Brighton and Sussex University Hospitals NHS Trust,BN2 3EW,1285,Brighton General Hospital,NA,No rating,NA,NA,94%,NA,95%,75%,69%,NA,NA
Conquest Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1953,"The Ridge, St. Leonards-on-Sea, East Sussex, TN37 7RD",Brighton and Sussex University Hospitals NHS Trust,TN37 7RD,1953,Conquest Hospital,NA,Outstanding,86%,98%,97%,NA,97%,82%,62%,NA,NA
Crawley Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1050,"West Green Drive, Crawley, West Sussex, RH11 7DH",Brighton and Sussex University Hospitals NHS Trust,RH11 7DH,1050,Crawley Hospital- Sussex Community NHS Trust,NA,No rating,NA,97%,NA,NA,NA,87%,68%,NA,NA
Eastbourne District General Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2126,"Kings Drive, Eastbourne, East Sussex, BN21 2UD",Brighton and Sussex University Hospitals NHS Trust,BN21 2UD,2126,Eastbourne District General Hospital,NA,Good,96%,98%,99%,NA,97%,82%,62%,NA,NA
Horsham Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=115263,"Hurst Road, Horsham, West Sussex, RH12 2DR",Brighton and Sussex University Hospitals NHS Trust,RH12 2DR,115263,Horsham Hospital,NA,NA,NA,97%,NA,NA,NA,87%,68%,NA,NA
Princess Royal Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1633,"Lewes Road, Haywards Heath, West Sussex, RH16 4EX",Brighton and Sussex University Hospitals NHS Trust,RH16 4EX,1633,Princess Royal Hospital,NA,Good,91%,NA,95%,NA,95%,75%,69%,NA,NA
Queen Victoria Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1795,"Holtye Road, East Grinstead, West Sussex, RH19 3DZ",Brighton and Sussex University Hospitals NHS Trust,RH19 3DZ,1795,Queen Victoria Hospital (East Grinstead),NA,Good,96%,NA,98%,NA,95%,97%,71%,NA,NA
Royal Alexandra Children's Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1438,"Eastern Road, Brighton, East Sussex, BN2 5BE",Brighton and Sussex University Hospitals NHS Trust,BN2 5BE,1438,Royal Alexandra Children's Hospital,NA,NA,92%,NA,98%,NA,95%,75%,69%,NA,NA
Royal Sussex County Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1497,"Eastern Road, Brighton, East Sussex, BN2 5BE",Brighton and Sussex University Hospitals NHS Trust,BN2 5BE,1497,Royal Sussex County Hospital,NA,Good,85%,NA,90%,NA,95%,75%,69%,NA,NA
Sussex Eye Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1816,"Eastern Road, Brighton, East Sussex, BN2 5BF",Brighton and Sussex University Hospitals NHS Trust,BN2 5BF,1816,Sussex Eye Hospital,NA,NA,92%,NA,98%,NA,95%,75%,69%,NA,NA
